question_set,variant,n,route_change_rate,brier,delta_brier_vs_base,log_score,delta_log_vs_base
2025-03-30-llm,prior_sharpness_plus_0.06,1539,0.0,0.18628460948295886,0.0,0.5414472314343607,0.0
2025-03-30-llm,source_prior_minus_0.06,1539,0.0,0.18628460948295886,0.0,0.5414472314343607,0.0
2025-03-30-llm,source_prior_plus_0.06,1539,0.0,0.18628460948295886,0.0,0.5414472314343607,0.0
2025-03-30-llm,noisy_strength_minus_0.05,1539,0.193632228719948,0.19180409765719747,0.005519488174238613,0.5535218671336722,0.012074635699311553
2025-03-30-llm,noisy_strength_plus_0.05,1539,0.198180636777128,0.1877177653860888,0.0014331559031299512,0.5445073124615125,0.0030600810271518286
2025-03-30-llm,horizon_150,1539,0.07862248213125406,0.18900570650282317,0.0027210970198643103,0.5472082817692278,0.005761050334867068
2025-03-30-llm,horizon_9999,1539,0.0,0.18628460948295886,0.0,0.5414472314343607,0.0
2025-03-30-llm,search_enabled_low,1539,0.002599090318388564,0.18632492481473323,4.0315331774370966e-05,0.5415332798049568,8.604837059611459e-05
2025-04-13-llm,base,1529,0.0,0.17016353381947774,0.0,0.5068310715435104,0.0
2025-04-13-llm,hist_coverage_minus_0.10,1529,0.0,0.17016353381947774,0.0,0.5068310715435104,0.0
2025-04-13-llm,hist_coverage_plus_0.10,1529,0.0,0.17016353381947774,0.0,0.5068310715435104,0.0
2025-04-13-llm,market_sharpness_minus_0.05,1529,0.002616088947024199,0.17015451881450672,-9.015004971024698e-06,0.5068133012131969,-1.7770330313471305e-05
2025-04-13-llm,market_sharpness_plus_0.05,1529,0.0013080444735120995,0.17016370545846082,1.7163898308192316e-07,0.5068315671907464,4.956472360317932e-07
2025-04-13-llm,prior_sharpness_minus_0.06,1529,0.0006540222367560497,0.17018381278772693,2.0278968249187734e-05,0.5068819776141035,5.090607059310415e-05
2025-04-13-llm,prior_sharpness_plus_0.06,1529,0.0,0.17016353381947774,0.0,0.5068310715435104,0.0
2025-04-13-llm,source_prior_minus_0.06,1529,0.0,0.17016353381947774,0.0,0.5068310715435104,0.0
2025-04-13-llm,source_prior_plus_0.06,1529,0.0,0.17016353381947774,0.0,0.5068310715435104,0.0
2025-04-13-llm,noisy_strength_minus_0.05,1529,0.1988227599738391,0.17653712522861045,0.006373591409132712,0.5213587651021232,0.01452769355861283
2025-04-13-llm,noisy_strength_plus_0.05,1529,0.19816873773708307,0.1739109755692829,0.0037474417498051527,0.5146959521809683,0.007864880637457938
