question_set,variant,n,route_change_rate,brier,delta_brier_vs_base,log_score,delta_log_vs_base
2025-05-11-llm,prior_sharpness_minus_0.06,1530,0.0,0.18361343295244695,0.0,0.5414898070520189,0.0
2025-05-11-llm,prior_sharpness_plus_0.06,1530,0.0,0.18361343295244695,0.0,0.5414898070520189,0.0
2025-05-11-llm,source_prior_minus_0.06,1530,0.20588235294117646,0.18626607801019793,0.0026526450577509797,0.5473706658200569,0.005880858768038011
2025-05-11-llm,source_prior_plus_0.06,1530,0.0,0.18361343295244695,0.0,0.5414898070520189,0.0
2025-05-11-llm,noisy_strength_minus_0.05,1530,0.0,0.18361343295244695,0.0,0.5414898070520189,0.0
2025-05-11-llm,noisy_strength_plus_0.05,1530,0.0,0.18361343295244695,0.0,0.5414898070520189,0.0
2025-05-11-llm,horizon_150,1530,0.07973856209150326,0.18617976169978936,0.0025663287473424168,0.5472943343544983,0.005804527302479379
2025-05-11-llm,horizon_9999,1530,0.0,0.18361343295244695,0.0,0.5414898070520189,0.0
2025-05-11-llm,search_enabled_low,1530,0.11568627450980393,0.18585052789883108,0.0022370949463841328,0.5464846341503218,0.004994827098302901
2025-05-25-llm,base,1505,0.0,0.18629033576122744,0.0,0.5437599377296948,0.0
2025-05-25-llm,hist_coverage_minus_0.10,1505,0.2026578073089701,0.18815477697694313,0.0018644412157156898,0.547571014187987,0.003811076458292262
2025-05-25-llm,hist_coverage_plus_0.10,1505,0.0,0.18629033576122744,0.0,0.5437599377296948,0.0
2025-05-25-llm,market_sharpness_minus_0.05,1505,0.007973421926910298,0.1862458675209156,-4.446824031184571e-05,0.5433933229345999,-0.0003666147950949217
2025-05-25-llm,market_sharpness_plus_0.05,1505,0.015946843853820596,0.18630922373960623,1.888797837878986e-05,0.5440898609424051,0.00032992321271030356
2025-05-25-llm,prior_sharpness_minus_0.06,1505,0.0,0.18629033576122744,0.0,0.5437599377296948,0.0
2025-05-25-llm,prior_sharpness_plus_0.06,1505,0.0,0.18629033576122744,0.0,0.5437599377296948,0.0
2025-05-25-llm,source_prior_minus_0.06,1505,0.2059800664451827,0.18804083090142493,0.0017504951401974833,0.5473340193761115,0.0035740816464167047
2025-05-25-llm,source_prior_plus_0.06,1505,0.0,0.18629033576122744,0.0,0.5437599377296948,0.0
2025-05-25-llm,noisy_strength_minus_0.05,1505,0.0,0.18629033576122744,0.0,0.5437599377296948,0.0
2025-05-25-llm,noisy_strength_plus_0.05,1505,0.0,0.18629033576122744,0.0,0.5437599377296948,0.0
2025-05-25-llm,horizon_150,1505,0.07973421926910298,0.1886233401714146,0.0023330044101871616,0.548865849142484,0.005105911412789266
2025-05-25-llm,horizon_9999,1505,0.0,0.18629033576122744,0.0,0.5437599377296948,0.0
2025-05-25-llm,search_enabled_low,1505,0.12358803986710963,0.18769575573062453,0.0014054199693970815,0.546638121761822,0.002878184032127251
2025-06-08-llm,base,1507,0.0,0.1891567521403664,0.0,0.5523643615145265,0.0
2025-06-08-llm,hist_coverage_minus_0.10,1507,0.192435301924353,0.19030858914081328,0.0011518370004468814,0.5547627536206893,0.002398392106162772
2025-06-08-llm,hist_coverage_plus_0.10,1507,0.0,0.1891567521403664,0.0,0.5523643615145265,0.0
2025-06-08-llm,market_sharpness_minus_0.05,1507,0.009953550099535502,0.1891512246229609,-5.527517405484739e-06,0.5523558868609245,-8.474653601986404e-06
2025-06-08-llm,market_sharpness_plus_0.05,1507,0.015925680159256803,0.18917057664757156,1.3824507205162373e-05,0.5526415379702239,0.0002771764556973588
2025-06-08-llm,prior_sharpness_minus_0.06,1507,0.0,0.1891567521403664,0.0,0.5523643615145265,0.0
2025-06-08-llm,prior_sharpness_plus_0.06,1507,0.0,0.1891567521403664,0.0,0.5523643615145265,0.0
2025-06-08-llm,source_prior_minus_0.06,1507,0.1957531519575315,0.19032870365363352,0.0011719515132671277,0.5547954662012475,0.0024311046867210306
2025-06-08-llm,source_prior_plus_0.06,1507,0.0,0.1891567521403664,0.0,0.5523643615145265,0.0
2025-06-08-llm,noisy_strength_minus_0.05,1507,0.0,0.1891567521403664,0.0,0.5523643615145265,0.0
2025-06-08-llm,noisy_strength_plus_0.05,1507,0.0,0.1891567521403664,0.0,0.5523643615145265,0.0
2025-06-08-llm,horizon_150,1507,0.1420039814200398,0.19228763084309008,0.0031308787027236884,0.5592820266588842,0.006917665144357654
2025-06-08-llm,horizon_9999,1507,0.0,0.1891567521403664,0.0,0.5523643615145265,0.0
2025-06-08-llm,search_enabled_low,1507,0.11745189117451892,0.19032702289285505,0.0011702707524886558,0.5547775881842548,0.002413226669728319
2025-06-22-llm,base,1460,0.0,0.19026422042256616,0.0,0.5568021504782417,0.0
2025-06-22-llm,hist_coverage_minus_0.10,1460,0.20205479452054795,0.19285190639170957,0.0025876859691434106,0.5622396002259232,0.005437449747681566
2025-06-22-llm,hist_coverage_plus_0.10,1460,0.0,0.19026422042256616,0.0,0.5568021504782417,0.0
2025-06-22-llm,market_sharpness_minus_0.05,1460,0.00821917808219178,0.19021208493861697,-5.213548394919498e-05,0.5563985946405022,-0.00040355583773943327
2025-06-22-llm,market_sharpness_plus_0.05,1460,0.014383561643835616,0.19028175918218798,1.7538759621821276e-05,0.5571047541485885,0.000302603670346846
2025-06-22-llm,prior_sharpness_minus_0.06,1460,0.0,0.19026422042256616,0.0,0.5568021504782417,0.0
2025-06-22-llm,prior_sharpness_plus_0.06,1460,0.0,0.19026422042256616,0.0,0.5568021504782417,0.0
2025-06-22-llm,source_prior_minus_0.06,1460,0.2089041095890411,0.19261699016752476,0.0023527697449585994,0.5617510013329469,0.0049488508547052
2025-06-22-llm,source_prior_plus_0.06,1460,0.0,0.19026422042256616,0.0,0.5568021504782417,0.0
2025-06-22-llm,noisy_strength_minus_0.05,1460,0.0,0.19026422042256616,0.0,0.5568021504782417,0.0
2025-06-22-llm,noisy_strength_plus_0.05,1460,0.0,0.19026422042256616,0.0,0.5568021504782417,0.0
2025-06-22-llm,horizon_150,1460,0.08013698630136987,0.192044588849781,0.0017803684272148512,0.5606399435534889,0.003837793075247231
2025-06-22-llm,horizon_9999,1460,0.0,0.19026422042256616,0.0,0.5568021504782417,0.0
2025-06-22-llm,search_enabled_low,1460,0.12534246575342467,0.19301002774821577,0.0027458073256496074,0.5625221585498321,0.0057200080715904544
2025-08-03-llm,base,1236,0.0,0.1807594034930006,0.0,0.5309285728692981,0.0
2025-08-03-llm,hist_coverage_minus_0.10,1236,0.1941747572815534,0.1817265365598691,0.0009671330668684919,0.532841920449465,0.0019133475801669242
2025-08-03-llm,hist_coverage_plus_0.10,1236,0.0,0.1807594034930006,0.0,0.5309285728692981,0.0
2025-08-03-llm,market_sharpness_minus_0.05,1236,0.010517799352750809,0.18070246696622405,-5.693652677654648e-05,0.5304454115221786,-0.000483161347119454
2025-08-03-llm,market_sharpness_plus_0.05,1236,0.019417475728155338,0.18078255306050597,2.3149567505376112e-05,0.5313157994380481,0.0003872265687500098
